卡農和弦,XC501XG501XA501XE501XF501XC501XD501XG501
1564流行萬用,XC501XG501XA501XF501
4536韓系情緒,XF501XG501XE501XA501
6415憂鬱循環,XA501XF501XC501XG501
50年代經典,XC501XA501XF501XG501
藍調12小節,XC701XC701XC701XC701XF701XF701XC701XC701XG701XF701XC701XG701
古典正統終止,XC501XF501XG501XC501
卡農和弦16小節,XC501XG501XA501XE501XF501XC501XD501XG501XC501XG501XA501XE501XF501XC501XD501XG501
江南穩定8小節,XC501XA501XF501XG501XC501XA501XD501XG501
江南柔和8小節,XC501XE501XF501XG501XA501XE501XF501XG501
古風常用8小節,XA501XF501XG501XE501XF501XC501XD501XG501
抒情流行8小節,XC501XG501XA501XF501XD501XG501XC501XG501
王道進行8小節,XF501XG501XE501XA501XF501XG501XC501XC501
小調情緒8小節,XA501XF501XC501XG501XA501XF501XD501XG501
正格終止8小節,XC501XF501XD501XG501XC501XA501XD501XG501
